# d n0 p xi pair A_Q B_Q detM=2B_Q
7 2 127 87 (8, 9) 121 56 112
7 2 127 50 (8, 9) 59 21 42
9 2 163 1 (10, 11) 13 41 82
9 2 163 64 (10, 11) 2 88 13
9 2 163 21 (10, 11) 95 5 10
9 2 163 40 (10, 11) 86 125 87
9 2 163 115 (10, 11) 97 132 101
9 2 163 25 (10, 11) 49 40 80
9 2 163 133 (10, 11) 134 107 51
9 2 163 36 (10, 11) 118 135 107
9 2 163 22 (10, 11) 147 82 1
9 2 163 104 (10, 11) 98 67 134
9 2 163 136 (10, 11) 17 59 118
9 2 163 65 (10, 11) 156 30 60
9 2 163 85 (10, 11) 157 33 66
9 2 163 61 (10, 11) 114 161 159
9 2 163 155 (10, 11) 120 95 27
9 2 163 140 (10, 11) 80 146 129
9 2 163 158 (10, 11) 120 118 73
9 2 163 6 (10, 11) 122 109 55
9 2 163 58 (10, 11) 48 150 137
9 2 163 126 (10, 11) 5 77 154
9 2 163 77 (10, 11) 66 138 113
9 2 163 38 (10, 11) 86 85 7
9 2 163 150 (10, 11) 9 54 108
9 2 163 146 (10, 11) 10 32 64
9 2 163 53 (10, 11) 125 135 107
9 2 163 132 (10, 11) 121 152 141
9 2 163 135 (10, 11) 49 79 158
11 2 199 1 (12, 13) 135 99 198
11 2 199 132 (12, 13) 140 116 33
11 2 199 111 (12, 13) 25 102 5
11 2 199 125 (12, 13) 153 132 65
11 2 199 182 (12, 13) 74 165 131
11 2 199 144 (12, 13) 166 59 118
11 2 199 103 (12, 13) 99 193 187
11 2 199 64 (12, 13) 64 61 122
11 2 199 90 (12, 13) 110 139 79
11 2 199 139 (12, 13) 22 84 168
11 2 199 40 (12, 13) 196 82 164
11 2 199 106 (12, 13) 177 33 66
11 2 199 62 (12, 13) 65 37 74
11 2 199 25 (12, 13) 113 176 153
11 2 199 116 (12, 13) 3 79 158
11 2 199 188 (12, 13) 137 117 35
11 2 199 140 (12, 13) 181 157 115
11 2 199 172 (12, 13) 181 16 32
11 2 199 18 (12, 13) 125 106 13
11 2 199 187 (12, 13) 101 63 126
11 2 199 8 (12, 13) 50 92 184
11 2 199 61 (12, 13) 41 56 112
11 2 199 92 (12, 13) 178 64 128
11 2 199 5 (12, 13) 128 194 189
11 2 199 63 (12, 13) 149 142 85
11 2 199 157 (12, 13) 94 22 44
11 2 199 28 (12, 13) 132 103 7
11 2 199 114 (12, 13) 177 77 154
11 2 199 123 (12, 13) 88 193 187
11 2 199 117 (12, 13) 152 137 75
11 2 199 121 (12, 13) 23 150 101
11 2 199 52 (12, 13) 109 26 52
11 2 199 98 (12, 13) 45 109 19
13 2 157 1 (14, 15) 31 6 12
13 2 157 154 (14, 15) 147 44 88
13 2 157 9 (14, 15) 108 58 116
13 2 157 130 (14, 15) 8 92 27
13 2 157 81 (14, 15) 102 32 64
13 2 157 71 (14, 15) 152 96 35
13 2 157 101 (14, 15) 107 37 74
13 2 157 11 (14, 15) 111 125 93
13 2 157 124 (14, 15) 91 70 140
13 2 157 99 (14, 15) 118 74 148
13 2 157 17 (14, 15) 115 76 152
13 2 157 106 (14, 15) 53 32 64
13 2 157 153 (14, 15) 21 23 46
13 2 157 12 (14, 15) 149 21 42
13 2 157 121 (14, 15) 34 53 106
13 2 157 108 (14, 15) 115 113 69
13 2 157 147 (14, 15) 59 39 78
13 2 157 30 (14, 15) 73 101 45
13 2 157 67 (14, 15) 150 13 26
13 2 157 113 (14, 15) 2 65 130
13 2 157 132 (14, 15) 16 30 60
13 2 157 75 (14, 15) 3 141 125
13 2 157 89 (14, 15) 43 151 145
13 2 157 47 (14, 15) 108 120 83
13 2 157 16 (14, 15) 68 20 40
13 2 157 109 (14, 15) 37 19 38
13 2 157 144 (14, 15) 141 154 151
13 2 157 39 (14, 15) 121 7 14
13 2 157 40 (14, 15) 90 21 42
13 2 157 37 (14, 15) 80 43 86
13 2 157 46 (14, 15) 131 38 76
13 2 157 19 (14, 15) 141 12 24
13 2 157 100 (14, 15) 36 63 126
13 2 157 14 (14, 15) 113 7 14
13 2 157 115 (14, 15) 84 45 90
13 2 157 126 (14, 15) 147 25 50
13 2 157 93 (14, 15) 67 45 90
13 2 157 35 (14, 15) 63 130 103
13 2 157 52 (14, 38) 25 61 122
15 2 271 1 (16, 17) 200 185 99
15 2 271 44 (16, 17) 71 50 100
15 2 271 39 (16, 17) 261 268 265
15 2 271 90 (16, 17) 164 38 76
15 2 271 166 (16, 17) 153 255 239
15 2 271 258 (16, 17) 261 114 228
15 2 271 241 (16, 17) 80 229 187
15 2 271 35 (16, 17) 76 83 166
15 2 271 185 (16, 17) 24 100 200
15 2 271 10 (16, 17) 178 174 77
15 2 271 169 (16, 17) 55 91 182
15 2 271 119 (16, 17) 70 197 123
15 2 271 87 (16, 17) 7 16 32
15 2 271 34 (16, 17) 101 224 177
15 2 271 141 (16, 17) 1 31 62
15 2 271 242 (16, 17) 228 164 57
15 2 271 79 (16, 17) 131 212 153
15 2 271 224 (16, 17) 270 187 103
15 2 271 100 (16, 17) 59 214 157
15 2 271 64 (16, 17) 209 169 67
15 2 271 106 (16, 17) 28 51 102
15 2 271 57 (16, 17) 130 58 116
15 2 271 69 (16, 17) 60 170 69
15 2 271 55 (16, 17) 86 245 219
15 2 271 252 (16, 17) 39 149 27
15 2 271 248 (16, 17) 146 94 188
15 2 271 72 (16, 17) 167 218 165
15 2 271 187 (16, 17) 259 86 172
15 2 271 98 (16, 17) 214 112 224
15 2 271 247 (16, 17) 28 160 49
15 2 271 28 (16, 17) 221 167 63
15 2 271 148 (16, 17) 3 251 231
15 2 271 8 (16, 17) 113 247 223
15 2 271 81 (16, 17) 103 234 197
15 2 271 41 (16, 17) 188 18 36
15 2 271 178 (16, 17) 149 25 50
15 2 271 244 (16, 17) 75 42 84
15 2 271 167 (16, 17) 129 76 152
15 2 271 31 (16, 17) 146 19 38
15 2 271 9 (16, 17) 100 72 144
15 2 271 125 (16, 17) 141 140 9
15 2 271 80 (16, 44) 250 105 210
15 2 271 268 (16, 17) 139 45 90
15 2 271 139 (16, 17) 12 169 67
15 2 271 154 (16, 17) 251 219 167
