# d n0 p xi order Theta
#   d   n 0
9 2 163 38 9 7
9 2 163 150 27 80
9 2 163 146 27 119
9 2 163 53 9 24
9 2 163 132 27 48
9 2 163 135 27 30
11 2 67 1 1 16
11 2 67 4 33 60
11 2 67 16 33 26
11 2 67 64 11 42
11 2 67 55 33 18
11 2 67 19 33 31
11 2 67 9 11 11
11 2 67 36 33 37
11 2 67 10 33 5
11 2 67 40 11 10
11 2 67 26 33 66
11 2 67 37 3 66
11 2 67 14 11 15
11 2 67 56 33 37
11 2 67 23 33 59
11 2 67 25 11 54
11 2 67 33 33 35
11 2 67 65 33 47
11 2 67 59 11 5
11 2 67 35 33 54
11 2 67 6 33 32
11 2 67 24 11 38
11 2 67 29 3 12
11 2 67 49 33 59
11 2 67 62 11 49
11 2 67 47 33 30
11 2 67 54 33 13
11 2 67 15 11 18
11 2 67 60 33 33
11 2 67 39 33 43
11 2 67 22 11 0
11 2 67 21 33 50
11 2 67 17 33 66
11 2 199 1 1 145
11 2 199 132 33 152
11 2 199 111 33 37
11 2 199 125 11 83
11 2 199 182 33 164
11 2 199 144 33 99
11 2 199 103 11 185
11 2 199 64 33 5
11 2 199 90 33 135
11 2 199 139 11 102
11 2 199 106 3 112
11 2 199 62 11 1
11 2 199 25 33 46
11 2 199 116 33 128
11 2 199 188 11 56
11 2 199 140 33 133
11 2 199 172 33 79
11 2 199 18 11 41
11 2 199 187 33 10
11 2 199 8 33 137
11 2 199 61 11 191
11 2 199 92 3 139
11 2 199 5 33 135
11 2 199 63 11 110
11 2 199 157 33 4
11 2 199 28 33 107
11 2 199 114 11 66
11 2 199 123 33 84
11 2 199 117 33 189
11 2 199 121 11 191
11 2 199 52 33 24
11 2 199 98 33 52
13 2 79 1 1 37
13 2 79 9 39 28
13 2 79 2 39 78
13 2 79 18 13 71
13 2 79 4 39 0
13 2 79 36 39 57
13 2 79 8 13 54
13 2 79 72 39 41
13 2 79 16 39 31
13 2 79 65 13 23
13 2 79 32 39 13
13 2 79 51 39 13
13 2 79 64 13 35
13 2 79 23 3 65
13 2 79 49 39 47
13 2 79 46 13 21
13 2 79 19 39 28
13 2 79 13 39 31
13 2 79 38 13 20
13 2 79 26 39 47
13 2 79 76 39 11
13 2 79 52 13 41
13 2 79 73 39 66
13 2 79 25 39 1
13 2 79 67 13 12
13 2 79 50 39 6
13 2 79 55 3 45
13 2 79 21 13 27
13 2 79 31 39 63
13 2 79 42 39 25
13 2 79 62 13 65
13 2 79 5 39 35
13 2 79 45 39 5
13 2 79 10 13 56
13 2 79 11 39 63
13 2 79 20 39 11
13 2 79 22 13 4
13 2 79 40 39 17
13 2 79 44 39 4
13 2 157 1 1 62
13 2 157 154 39 150
13 2 157 9 39 98
13 2 157 130 13 89
13 2 157 81 39 18
13 2 157 71 39 144
13 2 157 101 13 26
13 2 157 11 39 53
13 2 157 124 39 21
13 2 157 99 13 49
13 2 157 17 39 148
13 2 157 106 39 99
13 2 157 153 13 78
13 2 157 12 3 96
13 2 157 121 39 133
13 2 157 108 13 42
13 2 157 147 39 106
13 2 157 30 39 41
13 2 157 67 13 123
13 2 157 113 39 5
13 2 157 132 39 74
13 2 157 75 13 47
13 2 157 89 39 41
13 2 157 47 39 101
13 2 157 16 13 108
13 2 157 109 39 6
13 2 157 144 3 137
13 2 157 39 13 132
13 2 157 40 39 115
13 2 157 37 39 47
13 2 157 46 13 148
13 2 157 19 39 127
13 2 157 100 39 90
13 2 157 14 13 39
13 2 157 115 39 34
13 2 157 126 39 147
13 2 157 93 13 71
13 2 157 35 39 80
13 2 157 52 39 61
15 2 181 1 1 104
15 2 181 16 45 177
15 2 181 75 45 133
15 2 181 114 15 148
15 2 181 14 45 91
15 2 181 43 9 22
15 2 181 145 15 15
15 2 181 148 45 157
15 2 181 15 45 66
15 2 181 59 5 10
15 2 181 39 9 151
15 2 181 81 45 70
15 2 181 29 15 179
15 2 181 102 45 179
15 2 181 3 45 54
15 2 181 48 3 84
15 2 181 44 45 176
15 2 181 161 45 52
15 2 181 42 5 158
15 2 181 129 45 86
15 2 181 73 9 155
15 2 181 82 15 62
15 2 181 45 45 59
15 2 181 177 45 176
15 2 181 117 15 43
15 2 181 62 9 172
15 2 181 87 45 101
15 2 181 125 5 81
15 2 181 9 45 150
15 2 181 144 45 74
15 2 181 132 3 169
15 2 181 121 45 40
15 2 181 126 45 82
15 2 181 25 15 123
15 2 181 38 45 64
15 2 181 65 9 131
15 2 181 135 5 134
15 2 181 169 45 36
15 2 181 170 45 158
15 2 181 5 15 97
15 2 181 80 9 44
15 2 181 13 45 131
15 2 181 27 15 59
15 2 181 70 45 168
15 2 181 34 45 156
15 2 271 1 1 244
15 2 271 44 45 82
15 2 271 39 45 28
15 2 271 90 15 36
15 2 271 166 45 36
15 2 271 258 9 78
15 2 271 241 15 148
15 2 271 35 45 196
15 2 271 185 45 196
15 2 271 10 5 2
15 2 271 169 9 203
15 2 271 119 45 204
15 2 271 87 15 146
15 2 271 34 45 245
15 2 271 141 45 9
15 2 271 242 3 157
15 2 271 79 45 97
15 2 271 224 45 20
15 2 271 100 5 231
15 2 271 64 45 220
15 2 271 106 9 225
15 2 271 57 15 142
15 2 271 69 45 72
15 2 271 55 45 267
15 2 271 252 15 36
15 2 271 248 9 81
15 2 271 72 45 201
15 2 271 187 5 160
15 2 271 98 45 44
15 2 271 247 45 122
15 2 271 28 3 14
15 2 271 148 45 94
15 2 271 8 45 227
15 2 271 81 15 63
15 2 271 41 45 256
15 2 271 178 9 183
15 2 271 244 5 167
15 2 271 167 45 95
15 2 271 31 45 196
15 2 271 9 15 33
15 2 271 125 9 124
15 2 271 80 45 105
15 2 271 268 15 15
15 2 271 139 45 188
15 2 271 154 45 92
